Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
11489,355.289536,461.19,0,0,0,0,0,0,0,0,0,931.71,0,902.86,0
9563,603.353566,218.93,0,0,0,2037.53,1866.66,2467.42,0,0,0,0,0,0,0
11429,443.300166,450.27,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,553.816176,216.08,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,642.277476,165.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2928,491.223466,50.17,655.99,598.31,696.79,0,0,0,0,1784.8,1598.42,1330.11,518.35,554.53,574.56
5598,561.284096,162.02,0,0,0,0,0,0,0,0,0,0,0,0,0
4730,702.369966,147.31,0,0,0,0,0,0,0,0,0,0,0,0,0
9418,602.262346,216.56,0,0,0,0,0,0,0,0,0,0,0,0,0
9624,523.290686,221.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2597,338.208006,45.2,0,0,0,894.15,1034.42,1070.26,0,0,0,0,0,0,0
8762,544.265376,203.17,0,0,0,0,0,0,0,648.32,546.46,560.33,0,0,0
5937,556.302896,163.49,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,233.155056,157.24,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,673.353546,53.86,0,0,0,1144.45,1593.79,1817.28,0,0,0,0,0,0,0
5876,529.297926,162.57,0,0,0,0,0,0,0,0,0,0,0,0,0
8422,618.323366,198.82,0,0,0,0,0,0,0,0,0,0,0,0,0
7778,152.114256,188.9,0,0,0,0,0,0,0,0,0,0,0,0,0
9176,637.427256,211.53,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,712.248866,47.61,0,0,0,2705.01,2355.33,1894.81,0,0,0,0,0,0,0
2816,618.253486,50.47,0,0,0,4558.86,3474.53,3574.21,0,0,0,0,0,0,0
11601,487.360916,484.12,0,0,0,0,0,0,0,0,0,841.59,489.25,0,0
9321,499.291646,214.46,0,0,0,0,0,0,0,722.1,802.8,872.01,0,0,0
819,209.161296,163.92,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,441.189076,57.25,0,0,0,1934.1,1852.94,1461.55,0,0,0,0,0,0,0
2483,392.071156,507.24,0,0,0,958.62,820.45,697.98,0,0,0,0,0,0,0
8578,184.116586,201.27,0,0,0,0,0,0,0,1085.89,1388.26,1067.87,0,0,0
6493,431.231206,172.15,0,0,0,0,0,0,0,0,0,0,0,0,0
